Comment,,,,,,,,,,,Designator,,,Footprint,,,,LCSC Part #
"4.7uF Unpolarized capacitor, small symbol",,,,,,,,,,,C1,,,C_0402_1005Metric,,,,C189469
"100nF Unpolarized capacitor, small symbol",,,,,,,,,,,"C2,C3,C4,C5,C8",,,C_0402_1005Metric,,,,C83056
"10nF Unpolarized capacitor, small symbol",,,,,,,,,,,C6,,,C_0402_1005Metric,,,,C60133
"1uF Unpolarized capacitor, small symbol",,,,,,,,,,,C7,,,C_0402_1005Metric,,,,C92755
"12p Unpolarized capacitor, small symbol",,,,,,,,,,,"C9,C10",,,C_0402_1005Metric,,,,C106201
"2.2uF Unpolarized capacitor, small symbol",,,,,,,,,,,"C11,C12",,,C_0402_1005Metric,,,,C77002
MountingHole Mounting Hole without connection,,,,,,,,,,,"H1,H2,H3,H4",,,MountingHole_2.2mm_M2,,,,~
"16MHz Four pin crystal, GND on pins 2 and 4, small symbol",,,,,,,,,,,HSE1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,C13738
"Conn_01x03 Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,"J1,J2,J3,J4",,,PG-3P-2.5,,,,~
SM04B-SRSS-TB(LF)(SN) ,,,,,,,,,,,"J5,J6",,,JST_SM04B-SRSS-TB(LF)(SN),,,,C160404
"Mount-M2 Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,"MH1,MH2,MH3,MH4",,,Generic-Mounthole,,,,
OLED ,,,,,,,,,,,OL1,,,OLED_v2,,,,~
"10k Resistor, small symbol",,,,,,,,,,,R1,,,R_0402_1005Metric,,,,C144807
"22 Resistor, small symbol",,,,,,,,,,,"R2,R3",,,R_0402_1005Metric,,,,C226359
"1.5k Resistor, small symbol",,,,,,,,,,,R4,,,R_0402_1005Metric,,,,C144792
"1k Resistor, small symbol",,,,,,,,,,,R5,,,R_0402_1005Metric,,,,C106235
"DNP Resistor, small symbol",,,,,,,,,,,"R6,R7",,,R_0402_1005Metric,,,,C106231
"R_Pack04 4 resistor network, parallel topology",,,,,,,,,,,"RN1,RN2,RN3,RN4",,,R_Array_Convex_4x0402,,,,C326872
SW_SPST Single Pole Single Throw (SPST) switch,,,,,,,,,,,"SW0,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15",,,MX-1U-NoLED,,,,~
SW_SPST Single Pole Single Throw (SPST) switch,,,,,,,,,,,SW16,,,SW_SPST_B3U-1000P,,,,C231329
"74HC165D,653 ",,,,,,,,,,,"U1,U3",,,SOIC127P600X175-16N,,,,C5613
"STM32F103CBTx ARM Cortex-M3 MCU, 128KB flash, 20KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",,,,,,,,,,,U2,,,LQFP-48_7x7mm_P0.5mm,,,,C8304
"SPX3819M5-L-3-3 500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5",,,,,,,,,,,U4,,,SOT-23-5,,,,C9055
